631	309	631	213	148	703	675	843	449	611	117	794	266	164	809	
449	662	502	451	428	65	837	370	737	579	971	275	810	631	927	
409	507	143	17	639	336	986	745	545	877	221	988	526	725	311	
681	603	521	812	200	428	734	575	568	65	446	85	717	38	427	
238	365	319	35	241	226	29	594	909	660	572	677	942	839	619	
520	119	33	220	790	740	826	235	637	146	406	322	985	196	490	
607	852	912	295	545	177	564	517	363	746	558	498	654	730	194	
438	396	752	153	815	896	852	121	639	695	263	538	204	267	114	
221	270	12	971	430	50	809	350	757	776	422	594	786	452	806	
917	478	471	216	359	801	202	398	391	289	279	340	167	730	760	
